superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
2004;Jujuy;9.796,00;1.171,00;129;3.145,00;5.351,00; -   
2004;La Pampa;239.677,85;17.875,00; -   ;110.920,00;110.882,85; -   
2004;La Rioja;18.231,00;9.400,00; -   ;302;8.529,00; -   
2004;Mendoza;59.759,00;15.766,00; -   ;21.016,90;22.976,10; -   
2004;Misiones;2.416,85;15;691,05;520,5;1.190,30; -   
2004;Neuquén;25.379,84;422,28;26,36;4.442,20;20.488,99; -   
2004;Río Negro;40.424,77;6.287,66;631,33;11.489,40;22.016,38; -   
2004;Salta;64.675,00;11.363,00;2.448,00;18.605,00;32.259,00; -   
2004;San Juan;855,5; -   ;18,75;72,25;764,5; -   
2004;Santa Cruz;6.450,75;142,25;11;863,5;5.434,00; -   
2004;Santa Fe;27.430,00;1.378,00;4.682,00;899;20.471,00; -   
2004;Santiago del Estero;7.180,00;4.300,00; -   ; -   ;2.880,00; -   
2004;Tierra del Fuego;25,7;21,03; -   ;0,68;0,5;3,5
2004;Tucumán;968,2;104,4;7,5;50,8;805,5; -   
2005;Buenos Aires;39.798,59;4.170,82;806,49;1.457,43;33.363,85; -   
2005;Catamarca;31.057,50; -   ;0,5;6.329,00;24.728,00; -   
2005;Chaco;5.143,26;335;300;908,8;3.599,46; -   
2005;Chubut;5.392,07;998,77;89,09;993,23;3.310,98; -   
2005;Ciudad Autónoma de Buenos Aires;28; -   ; -   ; -   ;28; -   
2005;Córdoba;16.910,00;3.866,00;4.118,00;382;8.544,00; -   
2005;Corrientes;56.594,90; -   ;3.805,90; -   ;52.789,00; -   
2005;Entre Ríos;2.713,90;145,7;2.173,40;173,5;221,3; -   
2005;Formosa;7.943,00; -   ; -   ;120;7.823,00; -   
2005;Jujuy;3.655,44;850;759;566,09;1.480,35; -   
2005;La Pampa;313.526,00;58.290,00;207;118.868,00;136.161,00; -   
2005;La Rioja;680;639; -   ; -   ;41; -   
